No;year;month;day;hour;PM2.5;PM10;TEMP;PRES;DEWP;RAIN;wd;WSPM;station
1;2013;3;1;0;4;4;-2.3;1020.8;-19.7;0;E;0.5;Dingling
2;2013;3;1;1;7;7;-2.5;1021.3;-19;0;ENE;0.7;Dingling
3;2013;3;1;2;5;5;-3;1021.3;-19.9;0;ENE;0.2;Dingling
4;2013;3;1;3;6;6;-3.6;1021.8;-19.1;0;NNE;1;Dingling
5;2013;3;1;4;5;5;-3.5;1022.3;-19.4;0;N;2.1;Dingling
6;2013;3;1;5;6;6;-4.5;1022.6;-19.5;0;NNW;1.7;Dingling
7;2013;3;1;6;5;10;-4.5;1023.4;-19.5;0;NNW;1.8;Dingling
8;2013;3;1;7;5;6;-2.1;1024.6;-20;0;NW;2.5;Dingling
9;2013;3;1;8;8;7;-0.2;1025.2;-20.5;0;NNW;2.8;Dingling
10;2013;3;1;9;8;8;0.6;1025.3;-20.4;0;NNW;3.8;Dingling
11;2013;3;1;10;8;NA;2;1025.1;-21.3;0;N;2.2;Dingling
12;2013;3;1;11;3;2;3.6;1024.8;-20.7;0;NNE;2.7;Dingling
13;2013;3;1;12;6;NA;4.8;1023.8;-19.7;0;N;3;Dingling
14;2013;3;1;13;7;7;5.8;1022.8;-20.6;0;NE;4.4;Dingling
15;2013;3;1;14;6;7;5.9;1022.6;-20.5;0;N;3.6;Dingling
16;2013;3;1;15;10;10;6;1022.6;-20.4;0;N;3.2;Dingling
17;2013;3;1;16;3;6;5.4;1022.8;-20;0;NE;2.2;Dingling
18;2013;3;1;17;5;5;3.5;1023.4;-20.8;0;ENE;2;Dingling
19;2013;3;1;18;5;6;2.7;1024.2;-20;0;NE;3.6;Dingling
20;2013;3;1;19;14;6;2;1025.1;-19.3;0;ENE;1.7;Dingling
21;2013;3;1;20;6;7;1.1;1025.9;-18.3;0;NE;1.7;Dingling
22;2013;3;1;21;9;7;1.6;1026.7;-17.4;0;E;2.3;Dingling
23;2013;3;1;22;6;5;0.4;1027.2;-17.4;0;E;0;Dingling
24;2013;3;1;23;6;9;0.3;1027;-16.6;0;NE;1.5;Dingling
25;2013;3;2;0;4;7;-0.5;1027.4;-16.4;0;SW;3;Dingling
26;2013;3;2;1;6;6;-1.8;1027.9;-16.7;0;SSW;0.9;Dingling
27;2013;3;2;2;7;2;-1.7;1027.7;-17.4;0;SSW;1.5;Dingling
28;2013;3;2;3;28;47;-2.5;1027.7;-17.4;0;SW;1.7;Dingling
29;2013;3;2;4;31;65;-3.4;1027.5;-17;0;NW;0.8;Dingling
30;2013;3;2;5;39;55;-3.5;1026.9;-16.8;0;N;0.5;Dingling
31;2013;3;2;6;41;45;-3.5;1026.1;-15.8;0;NNE;0.9;Dingling
32;2013;3;2;7;52;32;-3.3;1026.7;-14.4;0;NNW;0.9;Dingling
33;2013;3;2;8;36;18;-2;1026.4;-15.1;0;NNE;1;Dingling
34;2013;3;2;9;27;41;-0.2;1026.3;-16.6;0;WSW;0.5;Dingling
35;2013;3;2;10;29;38;0.6;1025.8;-17.2;0;SW;1.3;Dingling
36;2013;3;2;11;19;12;1.3;1025.4;-17.1;0;ESE;1.1;Dingling
37;2013;3;2;12;28;32;1.9;1024.2;-17.1;0;WSW;1.6;Dingling
38;2013;3;2;13;30;41;2.3;1022.6;-17.3;0;SE;0.2;Dingling
39;2013;3;2;14;26;29;3;1021.9;-17.3;0;S;0;Dingling
40;2013;3;2;15;32;36;2.9;1020.9;-16.8;0;WSW;1.2;Dingling
41;2013;3;2;16;39;44;2.5;1020.6;-17.1;0;WNW;0.5;Dingling
42;2013;3;2;17;43;54;2.1;1020.2;-16.4;0;E;0.7;Dingling
43;2013;3;2;18;48;60;1.5;1020.4;-16;0;NE;0.7;Dingling
44;2013;3;2;19;46;64;0.3;1020;-15.3;0;NE;0.6;Dingling
45;2013;3;2;20;45;66;0;1019.9;-15.2;0;NE;0.2;Dingling
46;2013;3;2;21;50;68;-1.2;1019.7;-13.7;0;N;1;Dingling
47;2013;3;2;22;56;73;-2.1;1019.1;-13.3;0;NNE;0.4;Dingling
48;2013;3;2;23;55;66;-2.2;1018.2;-13.4;0;NNE;1.1;Dingling
