No;year;month;day;hour;PM2.5;PM10;TEMP;PRES;DEWP;RAIN;wd;WSPM;station
1;2013;3;1;0;9;9;-0.5;1024.5;-21.4;0;NNW;5.7;Dongsi
2;2013;3;1;1;4;4;-0.7;1025.1;-22.1;0;NW;3.9;Dongsi
3;2013;3;1;2;7;7;-1.2;1025.3;-24.6;0;NNW;5.3;Dongsi
4;2013;3;1;3;3;3;-1.4;1026.2;-25.5;0;N;4.9;Dongsi
5;2013;3;1;4;3;3;-1.9;1027.1;-24.5;0;NNW;3.2;Dongsi
6;2013;3;1;5;4;4;-2.4;1027.5;-21.3;0;NW;2.4;Dongsi
7;2013;3;1;6;5;5;-2.5;1028.2;-20.4;0;NW;2.2;Dongsi
8;2013;3;1;7;3;6;-1.4;1029.5;-20.4;0;NNW;3;Dongsi
9;2013;3;1;8;3;6;-0.3;1030.4;-21.2;0;NW;4.6;Dongsi
10;2013;3;1;9;3;6;0.4;1030.5;-23.3;0;N;5.5;Dongsi
11;2013;3;1;10;3;6;1.4;1030.2;-22.5;0;N;5.2;Dongsi
12;2013;3;1;11;6;6;2.9;1029.8;-22.9;0;NNW;5.3;Dongsi
13;2013;3;1;12;3;6;4;1028.6;-21.2;0;W;4.6;Dongsi
14;2013;3;1;13;3;6;5;1027.8;-21.2;0;NW;4.5;Dongsi
15;2013;3;1;14;3;6;6.2;1027.6;-22.2;0;NW;4;Dongsi
16;2013;3;1;15;3;10;6;1027.7;-21.3;0;NNW;2.1;Dongsi
17;2013;3;1;16;9;17;5.6;1027.7;-20.7;0;N;1.8;Dongsi
18;2013;3;1;17;9;22;4.4;1028.2;-20.9;0;N;3.5;Dongsi
19;2013;3;1;18;11;23;3.2;1029.4;-20.3;0;NNW;0.5;Dongsi
20;2013;3;1;19;13;17;3;1030.1;-19.7;0;N;1.1;Dongsi
21;2013;3;1;20;5;13;1.6;1031.3;-19;0;ENE;1.2;Dongsi
22;2013;3;1;21;15;17;0.8;1032.4;-19.7;0;NE;1;Dongsi
23;2013;3;1;22;19;21;0.1;1032.9;-19.2;0;ENE;1.8;Dongsi
24;2013;3;1;23;8;14;-0.5;1032.8;-19.7;0;NE;2.1;Dongsi
25;2013;3;2;0;4;11;-0.7;1033;-18.3;0;E;0.6;Dongsi
26;2013;3;2;1;3;6;-1.6;1033.2;-17.4;0;ENE;0;Dongsi
27;2013;3;2;2;3;6;-2.2;1032.9;-16.7;0;N;0;Dongsi
28;2013;3;2;3;3;6;-3.1;1032.6;-15.8;0;N;0;Dongsi
29;2013;3;2;4;3;6;-3.1;1032.7;-16.1;0;N;0;Dongsi
30;2013;3;2;5;9;9;-2.4;1032.1;-18.1;0;NNE;0.8;Dongsi
31;2013;3;2;6;3;6;-2.3;1031.3;-18.4;0;N;1.5;Dongsi
32;2013;3;2;7;13;13;-1.9;1031.9;-18.5;0;N;1.4;Dongsi
33;2013;3;2;8;3;6;-0.9;1031.7;-18;0;NNE;1.6;Dongsi
34;2013;3;2;9;3;6;0.1;1031.7;-18.1;0;NE;0.5;Dongsi
35;2013;3;2;10;3;7;1.5;1031.2;-18;0;ENE;0.6;Dongsi
36;2013;3;2;11;4;14;2.6;1030.2;-18.2;0;SW;3.1;Dongsi
37;2013;3;2;12;17;22;3.8;1029;-17.8;0;SSW;1.1;Dongsi
38;2013;3;2;13;23;29;3.8;1027.6;-17.8;0;S;1;Dongsi
39;2013;3;2;14;32;34;3.9;1026.8;-18.3;0;SSW;0.4;Dongsi
40;2013;3;2;15;35;37;4.3;1026.2;-18;0;SSW;1.5;Dongsi
41;2013;3;2;16;42;52;4.1;1025.4;-16.9;0;SSW;1.9;Dongsi
42;2013;3;2;17;54;69;3.2;1025.3;-16;0;WSW;1.3;Dongsi
43;2013;3;2;18;56;82;2.2;1025.4;-15.8;0;NE;0.4;Dongsi
44;2013;3;2;19;63;92;1.6;1025;-15.4;0;N;0.1;Dongsi
45;2013;3;2;20;71;98;0.7;1025;-15.3;0;N;1;Dongsi
46;2013;3;2;21;79;111;0.5;1024.8;-15.1;0;N;0.2;Dongsi
47;2013;3;2;22;98;121;-1;1024.2;-14.6;0;ENE;0;Dongsi
48;2013;3;2;23;108;131;-1.3;1023.2;-14.5;0;N;0;Dongsi
49;2013;3;3;0;115;141;-2.2;1022.3;-12.8;0;N;0;Dongsi
50;2013;3;3;1;127;152;-1.8;1021.4;-13.3;0;W;0.7;Dongsi
51;2013;3;3;2;132;151;-2.4;1020.4;-13.3;0;E;1.3;Dongsi
52;2013;3;3;3;124;133;-3.3;1019.4;-12.5;0;ESE;1.2;Dongsi
53;2013;3;3;4;112;118;-4.2;1019;-12.6;0;E;0.1;Dongsi
54;2013;3;3;5;101;107;-5.2;1018.5;-11.6;0;NE;0.9;Dongsi
55;2013;3;3;6;88;105;-5.4;1018.3;-11.3;0;ENE;0;Dongsi
56;2013;3;3;7;98;113;-3.3;1018.6;-9.8;0;N;0.1;Dongsi
57;2013;3;3;8;97;124;1.2;1018.1;-13.7;0;N;0.8;Dongsi
58;2013;3;3;9;95;115;4;1017.6;-13.4;0;SE;0.6;Dongsi
59;2013;3;3;10;91;112;6.8;1016.7;-13.5;0;SSW;1.1;Dongsi
60;2013;3;3;11;98;123;9.5;1015.6;-13.7;0;W;0.5;Dongsi
61;2013;3;3;12;107;134;13.4;1014.4;-13.6;0;WNW;1.8;Dongsi
62;2013;3;3;13;114;130;15.5;1013;-13.8;0;NW;4;Dongsi
63;2013;3;3;14;81;104;16.4;1012.4;-15.4;0;W;7;Dongsi
64;2013;3;3;15;49;80;16.6;1012;-15.2;0;WNW;4.7;Dongsi
65;2013;3;3;16;28;66;15.8;1012.2;-14.7;0;ENE;1.3;Dongsi
66;2013;3;3;17;41;106;12.6;1013;-13.4;0;SSW;1.3;Dongsi
67;2013;3;3;18;58;106;9.9;1014.1;-10.3;0;WNW;1;Dongsi
68;2013;3;3;19;87;212;6.8;1014.9;-9.6;0;W;0;Dongsi
69;2013;3;3;20;142;274;5.2;1015.2;-8.3;0;W;0;Dongsi
70;2013;3;3;21;152;202;4;1015.4;-9.1;0;N;0.2;Dongsi
71;2013;3;3;22;143;149;2.7;1015.8;-8.4;0;WNW;0.4;Dongsi
72;2013;3;3;23;80;101;7.1;1016.7;-12.2;0;N;0.4;Dongsi
73;2013;3;4;0;68;110;9.9;1017.5;-14.1;0;N;4.9;Dongsi
74;2013;3;4;1;61;89;9.3;1018.4;-13.9;0;NNW;3.6;Dongsi
75;2013;3;4;2;43;48;8.4;1018.7;-13.9;0;N;1.5;Dongsi
76;2013;3;4;3;13;19;7.4;1018.6;-14.2;0;N;3.6;Dongsi
77;2013;3;4;4;6;13;6.2;1019.6;-15.2;0;NNW;2.7;Dongsi
78;2013;3;4;5;7;19;6;1020.1;-14.2;0;NW;2.4;Dongsi
79;2013;3;4;6;9;23;4.2;1020.8;-12.7;0;NW;2;Dongsi
80;2013;3;4;7;10;31;7.2;1021.5;-12.6;0;NNW;3.2;Dongsi
81;2013;3;4;8;11;34;8.6;1022.3;-14.4;0;NE;2.8;Dongsi
82;2013;3;4;9;15;25;9.9;1022.6;-14.8;0;N;2.4;Dongsi
83;2013;3;4;10;3;7;11.5;1022.3;-14.3;0;N;0;Dongsi
84;2013;3;4;11;13;15;12.3;1022;-15.4;0;N;2.4;Dongsi
85;2013;3;4;12;13;20;13.9;1020.6;-16.2;0;N;3.3;Dongsi
86;2013;3;4;13;3;9;14.8;1019.5;-15.5;0;N;1.4;Dongsi
87;2013;3;4;14;3;6;15.3;1018.6;-15.1;0;E;1.3;Dongsi
88;2013;3;4;15;4;10;15.6;1018.1;-14.8;0;SSW;2;Dongsi
89;2013;3;4;16;18;18;14.7;1017.5;-15.5;0;SW;2.9;Dongsi
90;2013;3;4;17;17;24;13.2;1017.8;-15.7;0;SW;3;Dongsi
91;2013;3;4;18;20;29;12.6;1018.3;-13.4;0;SW;2.9;Dongsi
92;2013;3;4;19;31;60;12;1018.5;-13.1;0;WSW;2.7;Dongsi
93;2013;3;4;20;39;86;10.9;1018.8;-11.9;0;SE;1.4;Dongsi
94;2013;3;4;21;51;93;10.2;1018.8;-11.8;0;SW;2;Dongsi
95;2013;3;4;22;59;98;10;1018.5;-12;0;SW;3;Dongsi
96;2013;3;4;23;66;95;9.4;1017.5;-11.3;0;SSW;2.7;Dongsi
97;2013;3;5;0;74;96;8.8;1017;-10.7;0;SSW;2.1;Dongsi
98;2013;3;5;1;89;116;7.8;1016.5;-10.6;0;SSE;1.3;Dongsi
99;2013;3;5;2;95;133;4.7;1016.1;-10.6;0;S;0;Dongsi
