No;year;month;day;hour;PM2.5;PM10;TEMP;PRES;DEWP;RAIN;wd;WSPM;station
1;2013;3;1;0;6;18;0.1;1021.1;-18.6;0;NW;4.4;Gucheng
2;2013;3;1;1;6;15;-0.3;1021.5;-19;0;NW;4;Gucheng
3;2013;3;1;2;5;18;-0.7;1021.5;-19.8;0;WNW;4.6;Gucheng
4;2013;3;1;3;6;20;-1;1022.7;-21.2;0;W;2.8;Gucheng
5;2013;3;1;4;5;17;-1.3;1023;-21.4;0;WNW;3.6;Gucheng
6;2013;3;1;5;4;11;-1.8;1023.6;-21.9;0;E;1.2;Gucheng
7;2013;3;1;6;3;6;-2.6;1024.3;-20.4;0;ENE;1.2;Gucheng
8;2013;3;1;7;5;5;-0.9;1025.6;-20.5;0;ENE;1.1;Gucheng
9;2013;3;1;8;5;9;0.1;1026.1;-20.3;0;ENE;3;Gucheng
10;2013;3;1;9;4;10;1.1;1026.1;-20.6;0;NE;2.8;Gucheng
11;2013;3;1;10;7;8;1.9;1026.1;-21.3;0;ENE;3;Gucheng
12;2013;3;1;11;3;6;3.3;1026.1;-20.9;0;ENE;3.2;Gucheng
13;2013;3;1;12;9;10;4.1;1025.1;-20.3;0;ENE;3.2;Gucheng
14;2013;3;1;13;10;19;5.3;1024.1;-20.1;0;NE;2.7;Gucheng
15;2013;3;1;14;13;20;5.5;1023.8;-20;0;NE;2.1;Gucheng
16;2013;3;1;15;13;16;6.3;1023.5;-19.3;0;ENE;2.7;Gucheng
17;2013;3;1;16;11;22;5.9;1023.6;-18.8;0;ENE;1.8;Gucheng
18;2013;3;1;17;10;20;5.1;1024.2;-18.7;0;WNW;1;Gucheng
19;2013;3;1;18;11;20;3.7;1025.3;-19.2;0;E;1.6;Gucheng
20;2013;3;1;19;11;31;2.7;1026.1;-19.3;0;E;1.7;Gucheng
21;2013;3;1;20;13;25;1.6;1027.1;-18.4;0;ESE;1.9;Gucheng
22;2013;3;1;21;15;23;1;1028.1;-17.4;0;SSE;0.7;Gucheng
23;2013;3;1;22;16;28;1.3;1028.4;-17.6;0;E;1;Gucheng
24;2013;3;1;23;16;28;0.2;1028.6;-17.6;0;ESE;1.1;Gucheng
25;2013;3;2;0;14;18;-0.3;1028.9;-18;0;ENE;1.4;Gucheng
26;2013;3;2;1;18;39;-0.7;1029.2;-17.9;0;E;1;Gucheng
27;2013;3;2;2;19;29;-0.8;1028.8;-18;0;ENE;1.4;Gucheng
28;2013;3;2;3;15;24;-1.2;1028.6;-17.9;0;ENE;1.1;Gucheng
29;2013;3;2;4;13;16;-1.3;1028.7;-18.9;0;NE;1.1;Gucheng
30;2013;3;2;5;12;23;-1.3;1028;-18.4;0;ENE;1.4;Gucheng
31;2013;3;2;6;12;12;-1.6;1027.5;-18.6;0;ENE;0.7;Gucheng
32;2013;3;2;7;3;6;-1.3;1028;-17.9;0;ESE;0.6;Gucheng
33;2013;3;2;8;3;9;-0.6;1027.7;-17.8;0;NNE;0.9;Gucheng
34;2013;3;2;9;10;15;0.3;1027.8;-17.5;0;SW;0.7;Gucheng
35;2013;3;2;10;15;17;1.7;1027.2;-17.3;0;SW;1.9;Gucheng
36;2013;3;2;11;20;31;2.5;1026.4;-17.1;0;SSW;2;Gucheng
37;2013;3;2;12;26;36;3.1;1025.1;-17.2;0;SSW;2.2;Gucheng
