No;year;month;day;hour;PM2.5;PM10;TEMP;PRES;DEWP;RAIN;wd;WSPM;station
1;2013;3;1;0;7;7;-2.3;1020.3;-20.7;0;WNW;3.1;Huairou
2;2013;3;1;1;4;4;-2.7;1020.8;-20.5;0;NNW;1.5;Huairou
3;2013;3;1;2;4;4;-3.2;1020.6;-21.4;0;NW;1.8;Huairou
4;2013;3;1;3;3;3;-3.3;1021.3;-23.7;0;NNW;2.4;Huairou
5;2013;3;1;4;3;3;-4.1;1022.1;-22.7;0;NNW;2.2;Huairou
6;2013;3;1;5;4;4;-4.2;1022.3;-24.5;0;N;4.3;Huairou
7;2013;3;1;6;3;6;-5.9;1023.1;-21.9;0;WNW;0.6;Huairou
8;2013;3;1;7;3;10;-2.7;1024.3;-23.2;0;NNE;3.4;Huairou
9;2013;3;1;8;3;13;-1.6;1025.2;-23.5;0;NNE;4.6;Huairou
10;2013;3;1;9;17;36;-1.1;1025.4;-23.8;0;NE;4.9;Huairou
11;2013;3;1;10;19;32;1;1025.1;-23.6;0;ESE;2.7;Huairou
12;2013;3;1;11;10;11;2.4;1024.5;-22.5;0;SE;3.9;Huairou
13;2013;3;1;12;3;6;3.9;1023.8;-21.3;0;W;1.9;Huairou
14;2013;3;1;13;3;6;4.7;1022.8;-22.4;0;S;3.3;Huairou
15;2013;3;1;14;3;6;5.7;1022.3;-22.6;0;NW;1.9;Huairou
16;2013;3;1;15;3;3;5.4;1022.7;-22.8;0;NE;3.1;Huairou
17;2013;3;1;16;3;6;4.6;1022.7;-22.5;0;NE;3.2;Huairou
18;2013;3;1;17;4;10;3.4;1023.2;-21.7;0;N;2.8;Huairou
19;2013;3;1;18;4;12;1.2;1024.4;-21.2;0;ENE;1.4;Huairou
20;2013;3;1;19;9;18;0.8;1025.1;-20.9;0;NNE;2.3;Huairou
21;2013;3;1;20;20;24;0.7;1026.2;-20.4;0;NNE;4.4;Huairou
22;2013;3;1;21;23;29;-0.2;1027.3;-20;0;NE;3.3;Huairou
23;2013;3;1;22;13;20;-1;1027.9;-19.6;0;NE;3.7;Huairou
24;2013;3;1;23;13;24;-1.1;1027.4;-19.2;0;NE;3.7;Huairou
25;2013;3;2;0;15;21;-1.8;1027.3;-19.3;0;NE;4.8;Huairou
26;2013;3;2;1;9;16;-2.1;1027.9;-19.1;0;ENE;2.6;Huairou
27;2013;3;2;2;11;13;-2.2;1027.4;-19.6;0;NE;3.9;Huairou
28;2013;3;2;3;8;15;-2.3;1027.1;-19.3;0;ENE;2.4;Huairou
29;2013;3;2;4;13;15;-3.4;1027.2;-18.1;0;W;0.6;Huairou
30;2013;3;2;5;15;18;-4.2;1026.9;-16.4;0;WNW;1.4;Huairou
31;2013;3;2;6;12;17;-4.5;1025.8;-16.4;0;E;1.9;Huairou
32;2013;3;2;7;7;11;-4;1026.6;-14.2;0;E;1.2;Huairou
33;2013;3;2;8;14;11;-2.6;1026.6;-16.7;0;ENE;0.8;Huairou
34;2013;3;2;9;22;31;-1.2;1026.2;-16.2;0;S;0.9;Huairou
35;2013;3;2;10;31;49;-0.1;1025.8;-16.9;0;SSE;0.6;Huairou
36;2013;3;2;11;27;35;1.1;1025.5;-16.8;0;WSW;1.8;Huairou
37;2013;3;2;12;36;50;2;1024.3;-18.1;0;SW;1.2;Huairou
38;2013;3;2;13;31;47;2.2;1022.8;-17.9;0;S;1.1;Huairou
39;2013;3;2;14;28;37;2.3;1022;-17.3;0;SW;2.1;Huairou
40;2013;3;2;15;26;31;2.8;1021.3;-17.4;0;SW;1.8;Huairou
41;2013;3;2;16;29;41;2.2;1020.7;-16.8;0;SSW;1.4;Huairou
42;2013;3;2;17;36;52;1.2;1020.4;-15.8;0;W;0.9;Huairou
43;2013;3;2;18;44;67;0.1;1020.4;-15.5;0;NW;1;Huairou
44;2013;3;2;19;53;70;-1.3;1019.9;-12.6;0;W;1;Huairou
45;2013;3;2;20;52;71;-1.6;1019.7;-13.5;0;W;1.1;Huairou
46;2013;3;2;21;97;103;-1.8;1019.6;-12.5;0;WNW;1.2;Huairou
47;2013;3;2;22;89;89;-1.8;1019;-13.3;0;WNW;0.7;Huairou
48;2013;3;2;23;80;83;-2.8;1018.1;-10.1;0;WNW;1.4;Huairou
49;2013;3;3;0;62;70;-2.9;1017;-11.9;0;WNW;0;Huairou
50;2013;3;3;1;51;63;-3.8;1016.2;-12.7;0;NE;0.9;Huairou
51;2013;3;3;2;42;49;-4.6;1015;-11.2;0;N;0.8;Huairou
52;2013;3;3;3;40;45;-5.5;1014.3;-11.2;0;WNW;1.5;Huairou
53;2013;3;3;4;44;51;-6.1;1013.7;-12;0;WNW;1.3;Huairou
54;2013;3;3;5;45;49;-6.9;1013.2;-12.6;0;NNW;0.4;Huairou
