No;year;month;day;hour;PM2.5;PM10;TEMP;PRES;DEWP;RAIN;wd;WSPM;station
1;2013;3;1;0;5;14;-0.5;1024.5;-21.4;0;NNW;5.7;Nongzhanguan
2;2013;3;1;1;8;12;-0.7;1025.1;-22.1;0;NW;3.9;Nongzhanguan
3;2013;3;1;2;3;6;-1.2;1025.3;-24.6;0;NNW;5.3;Nongzhanguan
4;2013;3;1;3;5;5;-1.4;1026.2;-25.5;0;N;4.9;Nongzhanguan
5;2013;3;1;4;5;5;-1.9;1027.1;-24.5;0;NNW;3.2;Nongzhanguan
6;2013;3;1;5;3;3;-2.4;1027.5;-21.3;0;NW;2.4;Nongzhanguan
7;2013;3;1;6;4;4;-2.5;1028.2;-20.4;0;NW;2.2;Nongzhanguan
8;2013;3;1;7;3;7;-1.4;1029.5;-20.4;0;NNW;3;Nongzhanguan
9;2013;3;1;8;3;6;-0.3;1030.4;-21.2;0;NW;4.6;Nongzhanguan
10;2013;3;1;9;11;14;0.4;1030.5;-23.3;0;N;5.5;Nongzhanguan
11;2013;3;1;10;3;7;1.4;1030.2;-22.5;0;N;5.2;Nongzhanguan
12;2013;3;1;11;3;6;2.9;1029.8;-22.9;0;NNW;5.3;Nongzhanguan
13;2013;3;1;12;3;6;4;1028.6;-21.2;0;W;4.6;Nongzhanguan
14;2013;3;1;13;3;6;5;1027.8;-21.2;0;NW;4.5;Nongzhanguan
15;2013;3;1;14;6;11;6.2;1027.6;-22.2;0;NW;4;Nongzhanguan
16;2013;3;1;15;5;13;6;1027.7;-21.3;0;NNW;2.1;Nongzhanguan
17;2013;3;1;16;5;12;5.6;1027.7;-20.7;0;N;1.8;Nongzhanguan
18;2013;3;1;17;10;23;4.4;1028.2;-20.9;0;N;3.5;Nongzhanguan
19;2013;3;1;18;11;22;3.2;1029.4;-20.3;0;NNW;0.5;Nongzhanguan
20;2013;3;1;19;11;12;3;1030.1;-19.7;0;N;1.1;Nongzhanguan
21;2013;3;1;20;10;14;1.6;1031.3;-19;0;ENE;1.2;Nongzhanguan
22;2013;3;1;21;12;15;0.8;1032.4;-19.7;0;NE;1;Nongzhanguan
23;2013;3;1;22;17;20;0.1;1032.9;-19.2;0;ENE;1.8;Nongzhanguan
24;2013;3;1;23;6;17;-0.5;1032.8;-19.7;0;NE;2.1;Nongzhanguan
25;2013;3;2;0;13;13;-0.7;1033;-18.3;0;E;0.6;Nongzhanguan
26;2013;3;2;1;3;9;-1.6;1033.2;-17.4;0;ENE;0;Nongzhanguan
27;2013;3;2;2;3;9;-2.2;1032.9;-16.7;0;N;0;Nongzhanguan
28;2013;3;2;3;3;6;-3.1;1032.6;-15.8;0;N;0;Nongzhanguan
29;2013;3;2;4;3;6;-3.1;1032.7;-16.1;0;N;0;Nongzhanguan
30;2013;3;2;5;3;6;-2.4;1032.1;-18.1;0;NNE;0.8;Nongzhanguan
31;2013;3;2;6;3;6;-2.3;1031.3;-18.4;0;N;1.5;Nongzhanguan
32;2013;3;2;7;3;7;-1.9;1031.9;-18.5;0;N;1.4;Nongzhanguan
33;2013;3;2;8;3;6;-0.9;1031.7;-18;0;NNE;1.6;Nongzhanguan
