No;year;month;day;hour;PM2.5;PM10;TEMP;PRES;DEWP;RAIN;wd;WSPM;station
1;2013;3;1;0;3;6;-0.9;1025.8;-20.5;0;NW;9.3;Shunyi
2;2013;3;1;1;12;12;-1.1;1026.1;-21.3;0;NW;9.4;Shunyi
3;2013;3;1;2;14;14;-1.7;1026.2;-23;0;NW;8.6;Shunyi
4;2013;3;1;3;12;12;-2.1;1027.3;-23.3;0;NW;6.6;Shunyi
5;2013;3;1;4;12;12;-2.4;1027.7;-22.9;0;NW;4.5;Shunyi
6;2013;3;1;5;11;11;-2.8;1028.2;-22.1;0;NNW;1.7;Shunyi
7;2013;3;1;6;12;12;-4;1029;-21.2;0;NNE;1.6;Shunyi
8;2013;3;1;7;13;13;-2.4;1030.5;-21.3;0;NE;1.7;Shunyi
9;2013;3;1;8;8;8;-1;1031.2;-21.8;0;NNW;2.7;Shunyi
10;2013;3;1;9;3;6;0;1031.3;-22.9;0;SSW;0.8;Shunyi
11;2013;3;1;10;3;6;0.7;1031.3;-21.6;0;NNW;2.5;Shunyi
12;2013;3;1;11;6;6;1.7;1030.9;-21.5;0;NNW;1.4;Shunyi
13;2013;3;1;12;8;8;2.8;1030.1;-20.6;0;NE;2.1;Shunyi
14;2013;3;1;13;5;5;3.7;1028.9;-20.6;0;NE;2.1;Shunyi
15;2013;3;1;14;5;5;4.6;1028.6;-20.7;0;ENE;3.4;Shunyi
16;2013;3;1;15;8;8;5.2;1028.5;-20.2;0;NE;2.6;Shunyi
17;2013;3;1;16;7;7;4.9;1028.6;-20.4;0;NNE;1;Shunyi
18;2013;3;1;17;10;10;4.1;1029;-19.5;0;NNW;2;Shunyi
19;2013;3;1;18;3;6;2.3;1030.1;-17.3;0;NW;0.6;Shunyi
20;2013;3;1;19;3;8;1.6;1030.9;-19;0;N;1.9;Shunyi
21;2013;3;1;20;13;13;0.6;1031.9;-18.7;0;NE;2;Shunyi
22;2013;3;1;21;9;14;0.2;1032.8;-18.5;0;ENE;2.5;Shunyi
23;2013;3;1;22;5;11;-0.3;1033.4;-18.5;0;ENE;2.2;Shunyi
24;2013;3;1;23;9;11;-0.7;1033.1;-17.9;0;NE;2.8;Shunyi
25;2013;3;2;0;5;7;-1;1033;-18.1;0;NE;3.2;Shunyi
26;2013;3;2;1;3;6;-1.5;1033.7;-18.1;0;E;1;Shunyi
27;2013;3;2;2;4;4;-1.6;1033.3;-18.2;0;NE;2.1;Shunyi
28;2013;3;2;3;8;8;-2;1033;-18.1;0;NNE;1.4;Shunyi
29;2013;3;2;4;6;6;-2.5;1033;-17.7;0;N;1.7;Shunyi
30;2013;3;2;5;6;6;-3.1;1032.6;-17.1;0;N;0.7;Shunyi
31;2013;3;2;6;4;6;-2.8;1031.8;-17.2;0;NNW;0.9;Shunyi
32;2013;3;2;7;13;NA;-2.7;1032.3;-16.4;0;N;1.3;Shunyi
33;2013;3;2;8;12;12;-1.5;1032.3;-16.5;0;N;1.6;Shunyi
34;2013;3;2;9;12;10;-0.4;1032.2;-16.7;0;NW;1.7;Shunyi
35;2013;3;2;10;26;35;0.7;1031.8;-17.1;0;SW;0.5;Shunyi
36;2013;3;2;11;18;32;1.6;1031.2;-16.8;0;SSW;1.6;Shunyi
37;2013;3;2;12;19;22;2.1;1030.1;-16.9;0;SW;1.1;Shunyi
38;2013;3;2;13;12;14;2.8;1028.5;-16.3;0;NE;1;Shunyi
39;2013;3;2;14;18;23;3.1;1027.7;-16.6;0;N;1.2;Shunyi
40;2013;3;2;15;32;34;3.2;1026.9;-16;0;NE;0.5;Shunyi
41;2013;3;2;16;43;47;3.1;1026.4;-15.6;0;N;1.8;Shunyi
42;2013;3;2;17;49;55;2.2;1026.1;-15.4;0;ENE;1.4;Shunyi
43;2013;3;2;18;38;51;1.7;1026.1;-14.9;0;ENE;1.5;Shunyi
44;2013;3;2;19;52;54;1.1;1025.7;-14.6;0;ENE;1.3;Shunyi
45;2013;3;2;20;69;82;0.7;1025.6;-14.5;0;NE;1.4;Shunyi
46;2013;3;2;21;96;104;-0.1;1025.3;-13.8;0;ENE;0.8;Shunyi
47;2013;3;2;22;108;123;-0.2;1024.7;-13.2;0;NNE;1;Shunyi
48;2013;3;2;23;130;136;-0.9;1023.9;-14.8;0;N;1.6;Shunyi
49;2013;3;3;0;125;153;-1.2;1022.9;-13.4;0;N;1.4;Shunyi
50;2013;3;3;1;96;118;-2.1;1021.9;-12.2;0;WNW;1;Shunyi
51;2013;3;3;2;84;92;-3.8;1020.7;-11.1;0;NW;0.2;Shunyi
52;2013;3;3;3;80;90;-4.6;1019.9;-10.2;0;N;0.1;Shunyi
53;2013;3;3;4;81;92;-3.8;1019.5;-10.9;0;N;1.1;Shunyi
54;2013;3;3;5;120;106;-5.3;1019;-9.9;0;NNE;1.1;Shunyi
55;2013;3;3;6;88;108;-4.1;1018.7;-11.4;0;NW;0.8;Shunyi
56;2013;3;3;7;92;97;-2.6;1019.4;-11.9;0;NNW;1.4;Shunyi
57;2013;3;3;8;113;122;-0.1;1018.6;-12.7;0;N;2.1;Shunyi
58;2013;3;3;9;99;114;2.4;1018.4;-13;0;N;1;Shunyi
59;2013;3;3;10;88;95;4.8;1017.5;-12.7;0;WNW;0.9;Shunyi
60;2013;3;3;11;85;92;9.3;1016.2;-12.6;0;S;1.4;Shunyi
61;2013;3;3;12;95;106;11.8;1014.9;-13.3;0;S;2.2;Shunyi
62;2013;3;3;13;109;123;14.5;1013.6;-12.7;0;W;4.7;Shunyi
63;2013;3;3;14;99;114;15.9;1013;-12.5;0;W;3.4;Shunyi
64;2013;3;3;15;70;107;15.6;1013;-12.8;0;N;3.1;Shunyi
65;2013;3;3;16;45;96;14.9;1013;-12.4;0;NE;1.6;Shunyi
66;2013;3;3;17;41;73;13;1013.4;-13.1;0;N;1.1;Shunyi
67;2013;3;3;18;42;67;8.4;1014.4;-11;0;N;0;Shunyi
68;2013;3;3;19;39;66;5.3;1015.5;-9.7;0;NW;0.9;Shunyi
69;2013;3;3;20;26;67;10.4;1015.7;-12.3;0;NNW;2.4;Shunyi
70;2013;3;3;21;34;64;7.4;1016;-8.3;0;NW;1.5;Shunyi
71;2013;3;3;22;47;68;5.9;1016.5;-11.3;0;N;1.4;Shunyi
72;2013;3;3;23;38;55;8.7;1017.2;-11.3;0;NW;4.2;Shunyi
73;2013;3;4;0;32;55;8.9;1018.3;-11.2;0;NW;4.5;Shunyi
