No;year;month;day;hour;PM2.5;PM10;TEMP;PRES;DEWP;RAIN;wd;WSPM;station
1;2013;3;1;0;6;6;-0.5;1024.5;-21.4;0;NNW;5.7;Tiantan
2;2013;3;1;1;6;29;-0.7;1025.1;-22.1;0;NW;3.9;Tiantan
3;2013;3;1;2;6;6;-1.2;1025.3;-24.6;0;NNW;5.3;Tiantan
4;2013;3;1;3;6;6;-1.4;1026.2;-25.5;0;N;4.9;Tiantan
5;2013;3;1;4;5;5;-1.9;1027.1;-24.5;0;NNW;3.2;Tiantan
6;2013;3;1;5;10;10;-2.4;1027.5;-21.3;0;NW;2.4;Tiantan
7;2013;3;1;6;8;19;-2.5;1028.2;-20.4;0;NW;2.2;Tiantan
8;2013;3;1;7;7;7;-1.4;1029.5;-20.4;0;NNW;3;Tiantan
9;2013;3;1;8;3;6;-0.3;1030.4;-21.2;0;NW;4.6;Tiantan
10;2013;3;1;9;8;2;0.4;1030.5;-23.3;0;N;5.5;Tiantan
11;2013;3;1;10;9;9;1.4;1030.2;-22.5;0;N;5.2;Tiantan
12;2013;3;1;11;9;23;2.9;1029.8;-22.9;0;NNW;5.3;Tiantan
13;2013;3;1;12;9;19;4;1028.6;-21.2;0;W;4.6;Tiantan
14;2013;3;1;13;10;34;5;1027.8;-21.2;0;NW;4.5;Tiantan
15;2013;3;1;14;10;19;6.2;1027.6;-22.2;0;NW;4;Tiantan
16;2013;3;1;15;3;6;6;1027.7;-21.3;0;NNW;2.1;Tiantan
17;2013;3;1;16;8;22;5.6;1027.7;-20.7;0;N;1.8;Tiantan
18;2013;3;1;17;10;28;4.4;1028.2;-20.9;0;N;3.5;Tiantan
19;2013;3;1;18;11;21;3.2;1029.4;-20.3;0;NNW;0.5;Tiantan
20;2013;3;1;19;12;4;3;1030.1;-19.7;0;N;1.1;Tiantan
21;2013;3;1;20;12;16;1.6;1031.3;-19;0;ENE;1.2;Tiantan
22;2013;3;1;21;12;17;0.8;1032.4;-19.7;0;NE;1;Tiantan
23;2013;3;1;22;12;16;0.1;1032.9;-19.2;0;ENE;1.8;Tiantan
24;2013;3;1;23;15;17;-0.5;1032.8;-19.7;0;NE;2.1;Tiantan
25;2013;3;2;0;16;17;-0.7;1033;-18.3;0;E;0.6;Tiantan
26;2013;3;2;1;3;10;-1.6;1033.2;-17.4;0;ENE;0;Tiantan
27;2013;3;2;2;4;8;-2.2;1032.9;-16.7;0;N;0;Tiantan
28;2013;3;2;3;9;10;-3.1;1032.6;-15.8;0;N;0;Tiantan
29;2013;3;2;4;3;8;-3.1;1032.7;-16.1;0;N;0;Tiantan
30;2013;3;2;5;6;10;-2.4;1032.1;-18.1;0;NNE;0.8;Tiantan
31;2013;3;2;6;5;8;-2.3;1031.3;-18.4;0;N;1.5;Tiantan
32;2013;3;2;7;3;6;-1.9;1031.9;-18.5;0;N;1.4;Tiantan
33;2013;3;2;8;12;15;-0.9;1031.7;-18;0;NNE;1.6;Tiantan
34;2013;3;2;9;13;20;0.1;1031.7;-18.1;0;NE;0.5;Tiantan
35;2013;3;2;10;18;23;1.5;1031.2;-18;0;ENE;0.6;Tiantan
36;2013;3;2;11;16;22;2.6;1030.2;-18.2;0;SW;3.1;Tiantan
37;2013;3;2;12;26;34;3.8;1029;-17.8;0;SSW;1.1;Tiantan
38;2013;3;2;13;27;34;3.8;1027.6;-17.8;0;S;1;Tiantan
39;2013;3;2;14;35;40;3.9;1026.8;-18.3;0;SSW;0.4;Tiantan
40;2013;3;2;15;35;38;4.3;1026.2;-18;0;SSW;1.5;Tiantan
41;2013;3;2;16;48;58;4.1;1025.4;-16.9;0;SSW;1.9;Tiantan
42;2013;3;2;17;56;64;3.2;1025.3;-16;0;WSW;1.3;Tiantan
43;2013;3;2;18;49;52;2.2;1025.4;-15.8;0;NE;0.4;Tiantan
44;2013;3;2;19;64;70;1.6;1025;-15.4;0;N;0.1;Tiantan
45;2013;3;2;20;63;75;0.7;1025;-15.3;0;N;1;Tiantan
46;2013;3;2;21;73;82;0.5;1024.8;-15.1;0;N;0.2;Tiantan
47;2013;3;2;22;79;79;-1;1024.2;-14.6;0;ENE;0;Tiantan
48;2013;3;2;23;98;106;-1.3;1023.2;-14.5;0;N;0;Tiantan
49;2013;3;3;0;84;97;-2.2;1022.3;-12.8;0;N;0;Tiantan
50;2013;3;3;1;85;93;-1.8;1021.4;-13.3;0;W;0.7;Tiantan
51;2013;3;3;2;110;119;-2.4;1020.4;-13.3;0;E;1.3;Tiantan
52;2013;3;3;3;112;119;-3.3;1019.4;-12.5;0;ESE;1.2;Tiantan
53;2013;3;3;4;113;123;-4.2;1019;-12.6;0;E;0.1;Tiantan
